User-ID,Book-Rating,Book-Title
147847,8,Southern Cross
185233,5,Southern Cross
2276,4,Isle of Dogs
35859,4,Isle of Dogs
38273,9,Isle of Dogs
56959,5,Isle of Dogs
2276,8,"Captain Newman, M.D."
2276,8,The Gift
2276,10,King Rat
114988,7,King Rat
189835,5,King Rat
2276,7,The 13th Juror
235105,9,The 13th Juror
2276,10,The Runaway Jury
4385,10,The Runaway Jury
7346,9,The Runaway Jury
11676,9,The Runaway Jury
13552,8,The Runaway Jury
68555,7,The Runaway Jury
245827,5,The Runaway Jury
265115,8,The Runaway Jury
2276,10,The Brethren
7346,8,The Brethren
11676,8,The Brethren
25981,5,The Brethren
39467,9,The Brethren
68555,7,The Brethren
87141,8,The Brethren
95359,7,The Brethren
135149,8,The Brethren
2276,6,The Best Revenge
2276,9,Little Demonstration of Affection
2276,10,Black Fire
2276,9,Conjure Wife
2276,9,Harp and the Blade
2276,8,Runes
2276,9,Happy are the clean of heart: A Father Blackie Ryan story
2276,9,Happy Are Those Who Thirst for Justice
37950,6,Happy Are Those Who Thirst for Justice
112001,9,Happy Are Those Who Thirst for Justice
225087,7,Happy Are Those Who Thirst for Justice
2276,8,The Children of Men
135149,7,The Children of Men
2276,10,Out in All Directions: Almanac of Gay and Lesbian America
2276,5,Fountain of Youth: The Anti-Aging Weight-Loss Program
2276,9,Black Friday
11676,5,Black Friday
135149,5,Black Friday
2276,10,2nd Chance
11676,8,2nd Chance
35859,8,2nd Chance
43246,9,2nd Chance
110934,7,2nd Chance
204864,9,2nd Chance
261829,7,2nd Chance
2276,8,The Legacy
2276,7,Sybil.
2276,10,The Tranquilizing of America
2276,10,Murder at Ford's Theatre
2276,10,Murder in the Supreme Court (Capital Crime Mysteries)
2276,9,Angel Eyes
2276,9,Woman On the Edge of Time
2276,8,Small Changes 3
2276,10,At Wits End
2276,5,Other
2276,10,Rumors and Whispers
2276,9,Remaking Motherhood: How Working Mothers and Shaping Our Children's Future
2276,7,Getting Better
2276,10,Strands of Starlight
257204,10,Strands of Starlight
2276,9,Precious Victims
2276,9,The Hearing
2276,5,Soul/Mate
2276,10,Maze of Moonlight
257204,10,Maze of Moonlight
2276,10,Shroud of Shadow
257204,10,Shroud of Shadow
2276,10,Strands of Sunlight
257204,10,Strands of Sunlight
2276,5,"O Greenest Branch! (Water, No 1)"
2276,10,"Heir to the Shadows (The Black Jewels Trilogy, Book 2)"
2276,10,Queen of the Darkness (Black Jewels Trilogy)
2276,9,Shadows and Light
98391,9,Shadows and Light
2276,7,Arthurian Romances
2276,10,Blackout
87141,9,Blackout
2276,7,Wrongful Death
2276,8,Grassroots Resistance: Social Movements in Twentieth Century America
2276,10,Coming of the King: The First Book of Merlin (Spectra)
2276,8,Star Trek the New Voyages #2
2276,8,Lord Valentine's castle
2276,5,Sisterhood
2276,7,The Seeding
2276,9,The Nurse's Story
2276,10,Sudden Death
11676,8,Sudden Death
2276,8,A Mother's Trial
2276,6,"SISTERS, THE"
2276,10,The Bourne Supremacy
112001,10,The Bourne Supremacy
2276,6,Body of Truth
2276,8,Black Trillium
56447,4,Black Trillium
234828,9,Black Trillium
2276,7,With Child
171118,8,With Child
252695,8,With Child
2276,10,Stealing Shadows (Shadows Trilogy (Paperback))
158295,8,Stealing Shadows (Shadows Trilogy (Paperback))
190925,8,Stealing Shadows (Shadows Trilogy (Paperback))
2276,8,The Perfect Husband
11676,3,The Perfect Husband
157247,6,The Perfect Husband
158295,7,The Perfect Husband
261829,7,The Perfect Husband
2276,9,Dust to Dust
11676,9,Dust to Dust
140358,5,Dust to Dust
190925,8,Dust to Dust
2276,10,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)"
30276,8,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)"
51883,6,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)"
98391,9,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)"
158295,8,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)"
2276,9,The Survivors Club
11676,4,The Survivors Club
2276,10,Once a Thief
135149,7,Once a Thief
2276,10,Always a Thief
11676,7,Always a Thief
98391,5,Always a Thief
2276,8,Bloodstream
11676,7,Bloodstream
2276,5,BRAIN CHILD
2276,7,EAGLES GIFT
2276,10,Restaurant at the End of the Universe
56447,8,Restaurant at the End of the Universe
2276,9,CORONA
2276,10,The Girlfriends' Guide to Pregnancy
97874,5,The Girlfriends' Guide to Pregnancy
174304,10,The Girlfriends' Guide to Pregnancy
2276,9,SUPERLUMINAL
2276,9,Uhura's Song
2276,7,Who Rules America Now?: A View for the 80's
2276,9,Enterprise: The First Adventure
35859,7,Enterprise: The First Adventure
2276,9,"The IDIC Epidemic (Star Trek, Book 38)"
35859,8,"The IDIC Epidemic (Star Trek, Book 38)"
2276,9,ANGELS IN HELL
2276,10,Letters from a Pregnant Coward
2276,5,Dirk Gently's Holistic Detective Agency
6251,10,Dirk Gently's Holistic Detective Agency
240144,8,Dirk Gently's Holistic Detective Agency
2276,9,Cop Hunter
2276,10,Liar'S Oath
2276,9,SUMMONED TO TOURNEY
257204,8,SUMMONED TO TOURNEY
2276,9,WHEN THE BOUGH BREAKS
257204,8,WHEN THE BOUGH BREAKS
2276,5,Heaven (Casteel)
11676,7,Heaven (Casteel)
104636,10,Heaven (Casteel)
2276,5,IN THE FLESH
177432,7,IN THE FLESH
2276,7,"Stop the Insanity! Eat, Breathe, Move, Change the Way You Look and Feel--Forever"
2276,10,FIRST WIVES CLUB
7346,6,FIRST WIVES CLUB
156467,10,FIRST WIVES CLUB
182085,5,FIRST WIVES CLUB
2276,7,TALES OF POWER
2276,7,CHEKV ENTERPRISE
2276,8,PROMETHEUS DESIGN
2276,9,"The Entropy Effect (Star Trek, No 2)"
248718,9,"The Entropy Effect (Star Trek, No 2)"
2276,10,Pigs Don't Fly
257204,10,Pigs Don't Fly
2276,8,"Preparing for parenthood: Understanding your feelings about pregnancy, childbirth, and your baby"
2276,10,PENNY SAVED
2276,9,The Hypochondriac's Guide to Life. And Death.
2276,9,No Way Out
98391,9,No Way Out
101209,5,No Way Out
2276,6,The Meeting of the Waters (Book One of The Watchers)
2276,10,"Child of Flame (Crown of Stars, Book 4)"
2276,8,The Serpent's Shadow
257204,10,The Serpent's Shadow
2276,10,The Night We Met
6575,7,The Night We Met
93047,8,The Night We Met
2276,7,Ulterior Motive
2276,10,Nickel and Dimed: On (Not) Getting By in America
23768,5,Nickel and Dimed: On (Not) Getting By in America
25409,6,Nickel and Dimed: On (Not) Getting By in America
142524,8,Nickel and Dimed: On (Not) Getting By in America
270713,8,Nickel and Dimed: On (Not) Getting By in America
2276,8,"The Dragon Reborn (The Wheel of Time, Book 3)"
81560,9,"The Dragon Reborn (The Wheel of Time, Book 3)"
257204,9,"The Dragon Reborn (The Wheel of Time, Book 3)"
2276,8,"The Great Hunt (The Wheel of Time, Book 2)"
37950,9,"The Great Hunt (The Wheel of Time, Book 2)"
81560,9,"The Great Hunt (The Wheel of Time, Book 2)"
257204,9,"The Great Hunt (The Wheel of Time, Book 2)"
2276,7,"Screwtop/the Girl Who Was Plugged in (Tor Double, No 7)"
2276,10,The Bishop and the Missing L Train (Blackie Ryan)
7346,8,The Bishop and the Missing L Train (Blackie Ryan)
2276,5,Bard: The Odyssey of the Irish (Celtic World of Morgan Llywelyn)
11676,7,Bard: The Odyssey of the Irish (Celtic World of Morgan Llywelyn)
56399,7,Bard: The Odyssey of the Irish (Celtic World of Morgan Llywelyn)
257204,9,Bard: The Odyssey of the Irish (Celtic World of Morgan Llywelyn)
2276,8,The Diane Game
2276,6,Personal Habits
2276,4,Rhea
2276,5,The desecration of Susan Browning
2276,10,"Trying Again: A Guide to Pregnancy After Miscarriage, Stillbirth, and Infant Loss"
2276,10,"Johnny Deadline, Reporter: The Best of Bob Greene"
2276,8,Herstory: A Woman's View of American History
2276,10,Arrows of the Queen (Heralds of Valdemar)
2276,10,Arrow's Flight (Heralds of Valdemar)
2276,10,Arrow's Fall
2276,10,"Oathbound (Lackey, Mercedes. Vows and Honor, Bk. 1.)"
2276,10,"Oathbreakers (Lackey, Mercedes. Vows and Honor, Bk. 2.)"
2276,10,By the Sword (Kerowyn's Tale)
11676,9,By the Sword (Kerowyn's Tale)
257204,10,By the Sword (Kerowyn's Tale)
2276,10,"Winds of Fate (The Mage Winds, Book 1)"
257204,9,"Winds of Fate (The Mage Winds, Book 1)"
2276,10,"Winds of Change (The Mage Winds, Book 2)"
257204,9,"Winds of Change (The Mage Winds, Book 2)"
2276,10,"Winds of Fury (The Mage Winds, Book 3)"
179978,9,"Winds of Fury (The Mage Winds, Book 3)"
257204,9,"Winds of Fury (The Mage Winds, Book 3)"
2276,8,"Special Effects (Family, Bk 1)"
177458,6,"Special Effects (Family, Bk 1)"
2276,3,Seeds of change
2276,8,Lick the Sugar Habit
2276,10,Silent Knife : Cesarean Prevention and Vaginal Birth after Cesarean (VBAC)
2276,8,Hypericum (St. John's Wort) and Depression
2276,6,Intimate Evil: A Novel
2276,8,Your Second Pregnancy: What to Expect This Time
2276,4,Letters to Sartre
2276,10,Martina: The Lives and Times of Martina Navratilova
2276,10,Inside Adobe(R) Photoshop(R) 5 (Limited Edition)
2276,10,When You Ride Alone You Ride With Bin Laden: What the Government Should Be Telling Us to Help Fight the War on Terrorism
3757,7,Carry on Jeeves
3757,8,The Oxford-Duden Pictorial Spanish-English Dictionary
3757,7,"Robot Dreams (Masterworks of Science Fiction and Fantasy, No 5)"
25981,10,"Robot Dreams (Masterworks of Science Fiction and Fantasy, No 5)"
3757,9,"The Subtle Knife (His Dark Materials, Book 2)"
3757,8,Contacto/Contact
3757,9,Mi Pais Inventado
3757,6,"LA Piramide De Peter, O Lo Acabaremos Entendiendo?/the Peter Pyramid, or Will We Ever Get the Point"
3757,9,Eva Luna (Plaza &amp; JanÃ©s/literaria)
3757,9,Cuentos de Eva Luna (Plaza &amp; JanÃ©s/literaria)
3757,9,La Casa de los Espiritus
3757,7,Misery
39467,8,Misery
3757,8,El libro de los seres imaginarios (Narradores de hoy)
3757,7,Milenium
3757,8,Cuentos de Los Viudos Negros
3757,8,Mas Cuentos de Los Viudos Negras
3757,7,"Relatos 1, Los - Ritos"
3757,6,"Relatos 2, Los - Juegos"
3757,5,La Fisica de La Inmortalidad
3757,8,Canibales y Reyes
3757,8,Bueno Para Comer
3757,7,Aprende Fotografia/Learn Photography
3757,8,Luces de bohemia: Esperpento (ColecciÃ³n austral ; no. 1307)
3757,7,Historia de la vida del BuscÃ³n (Selecciones Austral ; 24 : ClÃ¡sicos)
3757,7,Romancero gitano ; Poema del cante jondo (Selecciones Austral ; 39 : PoesÃ­a)
3757,7,La Practica de La Meditacion
3757,8,GuÃ­a prÃ¡ctica del peregrino: El Camino de Santiago
3757,8,Tus Zonas Erroneas/Your Erroneous Zones
3757,7,LA Actitud Mental Positiva: UN Camino Hacia El Exito/Success Through an Positive Mental Attitude
3757,7,El Arte de Amargarse La Vida
3757,7,"Entrenador, El"
3757,5,La Historia de San Michele
3757,9,El Nombre De La Rosa/The Name Of The Rose
3757,7,El Pendulo de Foucault
3757,6,A ORILLAS DEL RIO PIEDRA ME SENTE Y LLORE
3757,7,Poirot En Egipto
3757,7,LA Colmena
3757,8,Manual Practico del Astronomo Aficionado
3757,7,Azteca/Aztec
3757,7,Nueva antologÃ­a del disparate (ColecciÃ³n FÃ¡bula)
3757,5,Misterios al descubierto (Documento)
3757,8,Valle de Los Reyes
3757,8,"Filomeno, a Mi Pesar (ColecciÃ³n Autores espaÃ±oles e hispanoamericanos)"
49144,5,"Filomeno, a Mi Pesar (ColecciÃ³n Autores espaÃ±oles e hispanoamericanos)"
3757,7,El triÃ¡ngulo (ColecciÃ³n Autores espaÃ±oles e hispanoamericanos)
3757,6,Tratado de Las Buenas Maneras (ColecciÃ³n FÃ¡bula)
3757,6,Beltenebros (Biblioteca breve)
3757,6,El Invierno En Lisboa
3757,6,El Reino de Los Reprobos
3757,7,Donde Esta Wally Ahora?
3757,8,La rueda de la vida
3757,7,Las Siete Leyes Espirituales Del Exito
3757,5,Las claves de la afectividad femenina
3757,7,EQ quÃ© es inteligencia emocional
3757,7,Tu Eres Lo Que Dices
3757,7,Muchas Vidas Muchos Maestros
3757,7,A traves del tiempo
3757,8,Vida Sin Condiciones
3757,6,Preguntale a Platon
3757,7,Vida Antes de La Vida
3757,7,Las Amistades Peligrosas (La Sonrisa Vertical)
3757,8,El Hombre Anumerico
3757,8,Vida Y Amores De Una Maligna/the Life and Loves of a She-Devil
3757,6,Pensar La Matematica
3757,7,Fluir (Flow) Una Psicologia de La Felicidad
3757,5,Los hijos de Sira LÃ³pez (Espejo de madres)
3757,6,Introduccion a la Antropologia Social
3757,8,El arte de amar
3757,8,Miedo a la libertad
3757,6,Ensenar A Pensar
3757,7,Obras Completas De Agatha Christie (Grandes Maestros Del Crimen Y Misterio)
3757,8,Sigue Tus Suenos (El Jardin Interior)
3757,8,El caballero de la armadura oxidada
217740,7,El caballero de la armadura oxidada
3757,6,Recupera Tu Autoestima / Restore Your Self Esteem
3757,6,El Libro de la Suerte
3757,7,El Gran Libro de La Meditacion
3757,7,La abundancia a travÃ©s del reiki
3757,9,Cuentos de hadas retorcidos
3757,7,Cuentos Para Pensar / Stories To Think About
3757,6,Aprendo a Decir No
3757,7,Meditaciones Para Sanar Tu Vida
3757,7,Dieta para estar en la zona
3757,6,Amar sin condiciones
3757,7,Los pies en suelo y la cabeza en las estrelas
3757,6,La magia de la comunicaciÃ³n
3757,6,Cuida De TI Misma: Como Cuidas De Los Demas
3757,8,Acampar Manual Practico
3757,6,MontaÃ±ismo: Manual prÃ¡ctico (ColecciÃ³n El Buho viajero. Serie Aire libre ; 3)
3757,5,La Antidieta
3757,5,Amate a TI Mismo: Cambiaras Tu Vida : Manual De Trabajo/141
3757,7,El Eneagrama
3757,6,Libro completo del Reiki
3757,5,La Buena Suerte: Claves de la prosperidad
3757,9,Platero y Yo
3757,7,El Principe
4385,10,The Bandit's Lady (Harper Monogram)
4385,9,Fault Lines
11676,8,Fault Lines
4385,10,Society of the Mind: A Cyberthriller
4385,10,Die Hard: With a Vengeance - A Novel
4385,10,Circle of Stars
4385,10,"Edge of Victory II: Rebirth (Star Wars: The New Jedi Order, Book 8)"
4385,10,Dark Enigma (Harlequin Romance)
4385,10,No Room In His Lif (Harlequin Romance)
4385,10,"Man Of Truth (Harlequin Romance, No 3207)"
4385,10,"Mail - Order Mother (Romance , No 3510)"
4385,10,More Than Promises
4385,10,"More Than A Miracle (Silhouette Intimate Moments, No 242)"
4385,10,"Bad Moon Rising (Silhouette Intimate Moments, No. 412)"
153662,9,"Bad Moon Rising (Silhouette Intimate Moments, No. 412)"
4385,10,"Exile's End (Silhouette Intimate Moments, No 449)"
153662,9,"Exile's End (Silhouette Intimate Moments, No 449)"
4385,10,"Diamond Willow (Silhouette Intimate Moments, No 480)"
153662,9,"Diamond Willow (Silhouette Intimate Moments, No 480)"
4385,10,"Mclain'S Law (Premiere) (Silhouette Intimate Moments, No 528)"
153662,8,"Mclain'S Law (Premiere) (Silhouette Intimate Moments, No 528)"
4385,10,"Irresistible Man (Silhouette Intimate Moments, No 622)"
4385,10,"Night Of The Jaguar (Im Extra, Code Name: Danger) (Silhouette Intimate Moments, No 637)"
4385,10,"Hunted (Silhouette Intimate Moments, No 659)"
4385,10,"Morning Side Of Dawn (Silhouette Intimate Moments, No 674)"
4385,10,"Guarding Raine (Silhouette Intimate Moments, No 693)"
4385,10,"Leader Of The Pack (Trinity Street West) (Silhouette Intimate Moments, No 728)"
4385,10,"Man To Trust  (Trinity Street West) (Harlequin Intimate Moments, No 805)"
4385,8,Right Man For Loving (Silhouette Romance 8870)
4385,8,Class Act (Silhouette Special Edition No. 274)
4385,8,"Voyage Of The Nighti (Silhouette Special Edition, No. 379)"
4385,10,"In The Name Of Love (Silhouette Special Edition, No. 382)"
4385,10,"Phoenix Rising (Silhouette Special Edition, No. 524)"
4385,10,"Step From A Dream (Special Edition, No 658)"
4385,10,"Yours, Mine And ...Ours (Silhouette Special Edition, No 682)"
4385,10,"When Somebody Needs You (Silhouette Special Edition, No 784)"
135265,5,"When Somebody Needs You (Silhouette Special Edition, No 784)"
4385,10,"Pride Of St Charles Avenue (Silhouette Special Edition, No 800)"
4385,10,"When Stars Collide (Silhouette Special Edition, No 867)"
4385,10,"Dangerous Alliance (Men Of Courage) (Silhouette Special Edition, No 884)"
182085,9,"Dangerous Alliance (Men Of Courage) (Silhouette Special Edition, No 884)"
4385,10,"Vow To Love (Vows) (Silhouette Special Edition, No 885)"
4385,8,"Cowboy Daddy (Silhouette Special Edition, No 9898)"
4385,10,"Bachelor Dad (Silhouette Special Edition, No 915)"
4385,10,"Interrupted Marriage (Silhouette Special Edition, No 916)"
4385,10,"Secret And A Bridal Pledge (This Time, Forever) (Silhouette Special Edition, No 956)"
4385,10,South of Capricorn (Harlequin Presents)
4385,10,Not Far Enough (Harlequin Presents)
4385,10,Forgotten Passion (Harlequin Presents)
4385,10,Caribbean Confusion
4385,10,Illusion Of Love
4385,10,"Unbreakable Bond (Harlequin Presents, No 904)"
4385,10,"Exclusively Yours (Harlequin Presents, No 1162)"
4385,10,"Dance For A Stranger (Harlequin Presents, No 1493)"
4385,10,Spirit Of Love (Harlequin Presents No. 11545)
242006,6,Spirit Of Love (Harlequin Presents No. 11545)
4385,10,"Corsican Gambit (Harlequin Presents, No 1637)"
182085,10,"Corsican Gambit (Harlequin Presents, No 1637)"
4385,8,"Indiscretions (Bride'S Baby) (Harlequin Presents, No 1794)"
4385,6,"Mirror Bride (The Marriage Maker) (Harlequin Presents, No 1865)"
4385,8,"Meant To Marry  (The Marriage Maker) (Harlequin Presents, No 1871)"
4385,10,Mistress of the Sheikh
4385,10,Mistletoe and Holly/Sweet Sea Spirit (Christmas Magic)
4385,10,"Tomorrow's Promise (Harlequin American Romance, #1)"
4385,10,"Edge Of Forever (Harlequin American Romance, No 138)"
4385,10,"Second Harmony (Harlequin American Romance, No 211)"
4385,8,Summer'S Witness (Harlequin American Romance 222)
4385,10,"Father Knows Best (Harlequin American Romance, No. 438)"
4385,10,"Twilight Magic (Harlequin American Romance, No 16504)"
4385,8,"Invisible Groom (Harlequin American Romance, No 554)"
4385,8,"Secret Agent Dad (Harlequin American Romance, No. 559)"
4385,8,"Operation: Husband (Harlequin American Romance, No 581)"
4385,10,"Counterfeit Husband (Harlequin American Romance, No 596)"
4385,8,"Mission: Motherhood  (Big Apple Babies) (Harlequin American Romance, No 693)"
4385,10,"Quick Find A Ring  (Three Weddings &amp; A Hurricane) (Harlequin American Romance, No 695)"
4385,10,"The Marriage Portrait (Harlequin American Romance, No 852)"
4385,10,"The Virgin Bride Said, \Wow!\"" (The Lockharts Of Texas) (Harlequin American Romance, No 870)"""
252695,7,"The Virgin Bride Said, \Wow!\"" (The Lockharts Of Texas) (Harlequin American Romance, No 870)"""
4385,10,"Have Baby, Need Beau (The Hartwell Hope Chests) (Harlequin American Romance, No 872)"
4385,10,"Cowboy With A Secret (Harlequin American Romance, No 874)"
4385,10,"Family: The Secret Ingredient (Harlequin American Romance, No 880)"
4385,10,"Daddy To Be Determined (Who'S The Daddy?) (American Romance, 882)"
4385,10,"The Unlawfully Wedded Princess (The Carradignes: American Royalty) (Harlequin American Romance Series, No. 917)"
4385,10,"The Blacksheep's Arranged Marriage (Billion-Dollar Braddocks) (Harlequin American Romance Series, No. 919)"
212965,8,"The Blacksheep's Arranged Marriage (Billion-Dollar Braddocks) (Harlequin American Romance Series, No. 919)"
4385,10,"A Baby For Lord Roderick  (Royal Flash) (Harlequin American Romance, No. 926)"
4385,10,"At the Rancher's Bidding (Harlequin American Romance, No 929)"
4385,10,"Randall Honor  (Brides For Brothers) (Harlequin American Romance, No. 930)"
4385,10,"Stranded at Cupid's Hideaway (Harlequin American Romance, No 932)"
4385,10,"The Rich Girl Goes Wild (Harlequin American Romance, No 936)"
4385,10,"The Inconveniently Engaged Prince: The Carradignes-American Royalty (Harlequin American Romance, No 946)"
4385,10,"Secret Service Dad: Grooms in Uniform (Harlequin American Romance, No 947)"
4385,10,"Their Instant Baby: The Deveraux Legacy (Harlequin American Romance, No 949)"
4385,10,"Commander's Little Surprise: Grooms in Uniform (Harlequin American Romance, No 954)"
4385,10,"Under Alaskan Skies (Harlequin American Romance, No 956)"
4385,10,"Diagnosis: Expecting Boss's Baby: The Babies of Doctors Circle (Harlequin American Romance, No 962)"
4385,10,"Sweeping the Bride Away (Harlequin American Romance, No 963)"
4385,10,"High-Tide Bride (Harlequin American Romance, No 968)"
4385,10,"Inherited: One Baby! (Harlequin American Romance, No 976)"
4385,10,"Ranger's Wild Woman   Cowboys By The Dozen (Harlequin American Romance, 986)"
4385,10,"The Playboy's Protegee (Harlequin American Romance, 988)"
4385,10,"Most Eligible Doctor (Silhouette Romance, 1692)"
98391,10,"Most Eligible Doctor (Silhouette Romance, 1692)"
4385,10,A Family Christmas
4385,10,Sons Of Texas:  Cowboys And Wedding Bells  (By Request) (By Request)
4385,10,"Ghostwriter (Harlequin Intrigue, No 228)"
4385,10,"Dominoes (Harlequin Intrigue, No 22282)"
4385,10,"Lethal Lover (Dangerous Men) (Harlequin Intrigue, No 345)"
4385,10,"Spencer'S Secret (The Spencer Brothers) (Harlequin Intrigue, 491)"
4385,10,"Secret Lover (Harlequin Intrigue, No. 520)"
4385,10,"Seven Reasons Why (Harlequin Special Edition, No 1122)"
4385,10,"Texas Royalty (Special Edition, 1343)"
4385,10,"Expectant Bride-To-Be (Here Comes The Brides) (Silhoette Special Edition, No 1368)"
182085,10,"Expectant Bride-To-Be (Here Comes The Brides) (Silhoette Special Edition, No 1368)"
4385,10,Fulfillment (Harlequin Temptation)
4385,10,"Naughty Thoughts (Harlequin Temptation, No 354)"
4385,10,"Stud (Harlequin Temptations, No 357)"
4385,10,"One More Time (Harlequin Temptation, No 450)"
4385,10,"Man Under The Mistletoe (Harlequin Temptation, No 568)"
4385,10,"Raven And The Swan (Harlequin Historical No, 205)"
4385,10,"Honeyed Lies.. (Harlequin Historical, No 209)"
4385,10,Fourth Of Forever (Harlequin Historical No 221)
182085,8,Fourth Of Forever (Harlequin Historical No 221)
4385,10,"Pearl Beyond Price (Harlequin Historical, No 264)"
4385,8,"Lion Of The North (Harlequin Historical, No 272)"
4385,10,"Magician'S Quest (Harlequin Historical, No 281)"
4385,10,"My Lady'S Champion (Harlequin Historical, No 326)"
4385,8,"Beauty And The Beast (Harlequin Historical, No 342)"
4385,10,"Knights Of Christmas (Harlequin Historicals, No 387)"
4385,10,"Lion'S Lady (The Sutherland Series) (Historical , No 411)"
4385,8,"Tender Stranger (Harlequin Historical, No. 456)"
4385,10,"Angel Of The Knight (Historical, 501)"
182085,9,"Angel Of The Knight (Historical, 501)"
4385,8,Molly'S Hero (Harlequin Historical)
4385,10,"Blushing Bride (Historical, 521)"
4385,10,"The Texan (Harlequin Historical, No. 615)"
4385,10,"Moments Harsh, Moments Gentle (Men: Made In America) (Men Made in America, No 30)"
4385,10,Last Frontier (Men: Made In America) (Men Made in America)
4385,10,For Old Times Sake (Men: Made In America) (Men Made in America)
4385,10,Honor Bound
114368,5,Honor Bound
4385,10,Tiger Prince
114368,5,Tiger Prince
4385,10,Sons of Texas : Callaway Country
4385,10,Baby Wanted (Montana Mavericks #10) (Montana Mavericks)
4385,10,Man With A Past (Montana Mavericks #11) (Montana Mavericks No 11)
4385,10,In The Arms Of A Hero (Fortunes Of Texas) (The Fortunes of Texas)
4385,10,"Rich , Rugged...Ruthless (Montana Mavericks)"
4385,10,"Streets Of Fire (Superomance, No 407)"
4385,10,"String Of Miracles (Harlequin Superromance, No 524)"
4385,10,"Finding Father (Family Man) (Harlequin Superromance, No 644)"
4385,10,"Man From Blue River (Home On The Ranch) (Harlequin Superromance, No 689)"
182085,5,"Man From Blue River (Home On The Ranch) (Harlequin Superromance, No 689)"
4385,8,"Texas Standoff  (Home On The Ranch) (Harlequin Superromance, No 707)"
4385,10,"Cowboy For Clementine (Home On The Ranch) (Harlequin Superromance, No. 1029)"
4385,10,Billionaire Boss  (Matched in Montana)
135265,6,Billionaire Boss  (Matched in Montana)
4385,10,"Double The Pleasure  (Twins) (Blaze, 49)"
4385,10,Lord Of The High Lon
4385,10,No Marriage of Convenience (Avon Romantic Treasure)
4385,10,When It's Perfect (Avon Romantic Treasures)
98391,8,When It's Perfect (Avon Romantic Treasures)
4385,10,"Splintered Moon (Velvet Glove, No 19)"
